                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.59741,                 0.8362,                0.78611,                0.98798,                0.74834,                0.59146,                0.65415,                0.55656,                0.75347,                0.59146,                0.65695,                0.56765,                 0.7348,                 1.4643,                 1.1528,                 1.1485,              0.0083962,              0.0083962,              0.0083962
                     83,                0.57903,                0.80553,                0.76443,                 0.9794,                0.75001,                0.56098,                0.64281,                0.54634,                0.75587,                0.56638,                0.64937,                0.55998,                0.69249,                 1.3596,                 1.1738,                 1.1072,              0.0083764,              0.0083764,              0.0083764
                     84,                0.55172,                0.79268,                0.75539,                0.96025,                0.65728,                0.64634,                0.64959,                 0.5449,                0.65728,                0.64634,                0.65525,                 0.5713,                0.70147,                 1.2207,                 1.1764,                 1.1273,              0.0083566,              0.0083566,              0.0083566
                     85,                0.57316,                 0.7381,                0.74882,                0.97006,                0.80103,                0.57317,                0.63414,                0.52542,                0.80103,                0.57317,                0.63027,                0.54751,                0.74685,                 1.3258,                 1.1697,                 1.1694,              0.0083368,              0.0083368,              0.0083368
                     86,                0.55933,                0.81634,                0.72693,                0.96889,                 0.6604,                0.60366,                0.63869,                0.51452,                 0.6538,                0.59881,                0.63634,                0.53147,                0.76204,                 1.3269,                 1.3143,                 1.1609,               0.008317,               0.008317,               0.008317
                     87,                0.57837,                 0.7928,                0.74645,                0.97041,                0.69507,                0.60976,                0.65928,                0.55371,                0.69507,                0.60976,                0.66371,                0.58119,                0.72517,                 1.3433,                 1.2325,                 1.1276,              0.0082972,              0.0082972,              0.0082972
                     88,                0.57263,                0.80695,                0.73687,                0.97692,                0.75919,                0.57672,                0.62909,                0.53201,                0.76714,                0.58257,                0.65263,                0.56947,                0.72395,                 1.2958,                 1.1867,                  1.139,              0.0082774,              0.0082774,              0.0082774
                     89,                0.58531,                0.82687,                0.74395,                0.97316,                0.80496,                0.52849,                0.63298,                0.51964,                0.80496,                0.52849,                 0.6389,                0.54757,                0.74155,                  1.367,                  1.198,                 1.1733,              0.0082576,              0.0082576,              0.0082576
                     90,                0.56547,                0.78041,                0.72508,                0.95956,                 0.7359,                0.61166,                 0.6433,                0.53819,                0.71795,                0.60976,                0.64216,                0.56334,                0.68565,                 1.3557,                  1.141,                 1.1113,              0.0082378,              0.0082378,              0.0082378
                     91,                0.57602,                0.79663,                0.74158,                0.97353,                0.68974,                0.58537,                0.61874,                0.51497,                0.68974,                0.58537,                0.62599,                0.54318,                 0.7083,                 1.2291,                 1.2371,                 1.0926,               0.008218,               0.008218,               0.008218
                     92,                0.54989,                 0.7739,                0.73637,                0.95476,                0.59775,                0.60366,                0.63004,                0.51965,                0.58722,                0.61585,                0.63176,                0.55909,                0.72482,                 1.2318,                 1.2495,                 1.1241,              0.0081982,              0.0081982,              0.0081982
                     93,                0.57749,                0.79328,                0.73628,                0.96602,                0.68242,                0.65244,                0.66028,                 0.5427,                0.68879,                0.65854,                 0.6644,                0.58532,                0.73749,                 1.2774,                 1.1913,                 1.1343,              0.0081784,              0.0081784,              0.0081784
                     94,                0.56408,                0.79159,                0.72035,                0.97196,                0.68781,                0.59756,                0.62473,                0.51768,                0.68601,                0.59756,                 0.6255,                0.54609,                0.73165,                 1.1794,                  1.241,                 1.1416,              0.0081586,              0.0081586,              0.0081586
